Product_Title,Price,Shop,Category_Id
GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GA-N2060WF2OC-6GD,38000.00,DOLPHIN COMPUTERS,1
GIGABYTE GEFORCE RTX 2060 OC 6GB GDDR6 GRAPHICS CARD #GV-N2060OC-6GD,37200.00,DOLPHIN COMPUTERS,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR3 GRAPHICS CARD #GV-N710D3-2GL,5200.00,DOLPHIN COMPUTERS,1
GIGABYTE NVIDIA GEFORCE GT 1030 OC 2GB DDR5 GRAPHICS CARD,8500.00,DOLPHIN COMPUTERS,1
GIGABYTE GTX 1050 TI OC 4GB DDR5 GRAPHICS CARD,17500.00,DOLPHIN COMPUTERS,1
GIGABYTE GEFORCE 1030 2GB DDR5 LOW PROFILE GRAPHICS CARD, 8400,BD STALL,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB DDR5 GRAPHICS CARD, 9800,BD STALL,1
GIGABYTE GEFORCE RTX 2080 WINDFORCE OC 8G GDDR6 GRAPHICS, 78000,BD STALL,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR5 GRAPHICS CARD, 5400,BD STALL,1
GIGABYTE NVIDIA GEFORCE GT 1030 2GB GRAPHICS CARD, 8000,BD STALL,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB VIDEO CARD, 17900,BD STALL,1
GIGABYTE GEFORCE RTX 2060 SUPER WINDFORCE OC 8GB GRAPHICS CARD,42500,STARTECH,1
GIGABYTE GT 1030 2GB OC GRAPHICS CARD,8000,STARTECH,1
GIGABYTE GEFORCE GTX 1650 OC 4GB GRAPHICS CARD,17200,STARTECH,1
GIGABYTE GT 710 1GB DDR5 GRAPHICS CARD, 3800,COMPUTER VILLAGE,1
GIGABYTE GT 710 2GB DDR3 GRAPHICS CARD, 4500,COMPUTER VILLAGE,1
GIGABYTE NVIDIA GEFORCE GT 1030 OC 2GB DDR5 GRAPHICS CARD, 8400,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 550 2GB DDR5 GRAPHICS CARD, 9600,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 570 GAMING 8GB DDR5 MI GRAPHICS CARD, 16500,COMPUTER VILLAGE,1
GIGABYTE NVIDIA GEFORCE GT 710 1GB DDR5 GRAPHICS CARD #GV-N710D5-1GI,3800,RYANS,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR3 GRAPHICS CARD #GV-N710D3-2GL,4200,RYANS,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR5 GRAPHICS CARD #GV-N710D5-2GL,4800,RYANS,1
GIGABYTE NVIDIA GEFORCE GT 1030 OC 2GB DDR5 GRAPHICS CARD #GV-N1030OC-2GI,7900,RYANS,1
GIGABYTE GEFORCE GTX 1050 TI OC 4G 4GB GDDR5 GRAPHICS CARD #GV-N105TOC-4GD,14000,RYANS,1
GIGABYTE GEFORCE GTX 1050 TI WINDFORCE OC 4GB GDDR5 GRAPHICS CARD #GV-N105TWF2OC-4GD,17500,RYANS,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB GDDR5 GRAPHICS CARD #GV-N105TG1 GAMING-4GD,17800,RYANS,1
GIGABYTE GEFORCE GTX 1650 GAMING OC 4GB GDDR5 GRAPHICS CARD #GV-N1650GAMING OC-4GD,20400,RYANS,1
GIGABYTE GEFORCE GTX 1660 GAMING 6GB GDDR5 GRAPHICS CARD #GV-N1660GAMING-6GD,25700,RYANS,1
GIGABYTE GEFORCE GTX 1660 GAMING OC 6GB GDDR5 GRAPHICS CARD #GV-N1660GAMING OC-6GD,25800,RYANS,1
GIGABYTE GTX 1660 TI OC 6GB GDDR6 GRAPHICS CARD #GV-N166TOC-6GD	,27000,RYANS,1
GIGABYTE GTX 1060 WINDFORCE OC 6GB GDDR5 GRAPHICS CARD #GV-N1060WF2OC-6GD,27500,RYANS,1
 GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GV-N2060WF2OC-6GD ,35500,RYANS,1
GIGABYTE RADEON RX 5700 XT GAMING OC 8G GDDR6 8GB GRAPHICS CARD #GV-R57XTGAMING OC-8GD,43000,RYANS,1
GIGABYTE GEFORCE RTX 2080 WINDFORCE OC 8GB GDDR6 GRAPHICS CARD #GV-N2080WF3OC-8GC,67000,RYANS,1
GIGABYTE AORUS GEFORCE RTX 2080 XTREME 8GB GDDR6 GRAPHICS CARD #GV-N2080AORUS X-8GC,76000,RYANS,1
GIGABYTE GEFORCE GTX 1650 WINDFORCE OC 4GB GRAPHICS CARD,18600,STARTECH,1
GIGABYTE GEFORCE GTX 1660 GAMING OC 6GB GRAPHICS CARD,25800,STARTECH,1
GIGABYTE GEFORCE GTX 1660 TI OC 6GB GRAPHICS CARD,28300,STARTECH,1
GIGABYTE GEFORCE GTX 1660 TI WINDFORCE OC 6GB GRAPHICS CARD,29300,STARTECH,1
GIGABYTE GTX 1050 TI OC 4GB DDR5 GRAPHICS CARD, 17500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1650 OC 4GB DDR5 GRAPHICS CARD, 18000,COMPUTER VILLAGE,1
