Product_Title,Price,Shop,Category_Id
GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GA-N2060WF2OC-6GD,38000.00,DOLPHIN COMPUTERS,1
GIGABYTE GEFORCE RTX 2060 OC 6GB GDDR6 GRAPHICS CARD #GV-N2060OC-6GD,37200.00,DOLPHIN COMPUTERS,1
GIGABYTE GEFORCE RTX 2060 SUPER WINDFORCE OC 8GB GRAPHICS CARD,42500,STARTECH,1
 GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G 6GB DDR6 GRAPHICS CARD #GV-N2060WF2OC-6GD ,35500,RYANS,1
GIGABYTE AORUS GEFORCE RTX 2060 SUPER 8GB GRAPHICS CARD,46000,STARTECH,1
GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6G GRAPHICS CARD,36500,STARTECH,1
GIGABYTE GEFORCE RTX 2060 GAMING OC PRO 6G GRAPHICS CARD,38200,STARTECH,1
GIGABYTE GEFORCE RTX 2060 SUPER GAMING OC 8GB GRAPHICS CARD,44000,STARTECH,1
GIGABYTE GEFORCE RTX 2060 OC 6GB DDR6 GRAPHICS CARD, 37500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE RTX 2060 WINDFORCE OC 6GB DDR6 GRAPHICS CARD, 38500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE RTX 2060 GAMING OC PRO 6GB DDR6 GRAPHICS CARD, 40000,COMPUTER VILLAGE,1
